stock,buy_price,buy_quantity,buy_total,current_stock_price,unrealized_profit
TSLA,260.865,2.0,521.73,253.18,-15.0
PYPL,76.97999999999999,2.0,153.95999999999998,63.08,-27.0
AULT,0.279,250.0,69.75,0.0992,-69.0
IMNN,2.435151515151515,66.0,160.72,0.657,-73.0
XPEV,18.8325,20.0,376.65,14.27,-91.0
TRXC,5.93,20.0,118.6,0.0,-118.0
NIO,11.87,50.0,593.5,9.43,-122.0
LIT,71.48293630743441,2.024679,144.73,0.0,-144.0
GV,1.42475,200.0,284.95,0.2088,-243.0
PDAC,12.92,25.0,323.0,0.0,-323.0
IDEX,0.5339010989010989,910.0,485.85,2.18,-433.0
BIOR,2.8475,200.0,569.5,1.4,-558.0
DPW,3.2376,250.0,809.4,0.0,-809.0
RIVN,68.6135,20.0,1372.27,23.54,-901.0
TNXP,0.5621771428571429,1750.0,983.8100000000001,0.411,-970.0
SOL,10.08457142857143,140.0,1411.8400000000001,2.77,-1024.0
RIDE,2.71125,400.0,1084.5,0.0,-1084.0
CLSN,1.5664,1000.0,1566.4,0.0,-1566.0
CTRM,1.7737403846153847,1040.0,1844.69,0.413,-1638.0
BNGO,8.5624,200.0,1712.48,2.06,-1671.0
BFT,15.876218487394958,119.0,1889.27,0.0,-1889.0
VTIQ,33.364794520547946,73.0,2435.63,0.0,-2435.0
AMC,28.789279999999998,125.0,3598.66,6.21,-3433.0
OCGN,9.499325,400.0,3799.73,0.5647,-3573.0
PSFE,7.442334801762115,681.0,5068.2300000000005,13.3,-4177.0
FRSX,3.3605125,1600.0,5376.82,1.08,-5088.0
MRNA,368.97525,40.0,14759.01,98.79,-6855.0
ZOM,1.6186749999999999,6000.0,9712.05,0.21,-8452.0
