stock,buy_price,buy_quantity,buy_total,sell_date,sell_price,sell_quantity,sell_total,profit
MSFT,342.26561831997776,83.025079,28416.63,2023.0,356.060125,80.0,28484.81,1104.0
MSFT,345.9930362222791,80.169417,27738.059999999998,2023.0,361.2968571428571,70.0,25290.78,1072.0
META,131.6845,20.0,2633.69,2023.0,182.0855,20.0,3641.71,1009.0
GOOGL,160.4868292682927,20.5,3289.98,2023.0,141.49866666666668,30.0,4244.96,955.0
AMD,80.84400000000001,10.0,808.44,2023.0,143.63299999999998,10.0,1436.33,628.0
KSS,21.837252500169445,20.36062,444.62,2023.0,27.5993560117521,20.36062,561.94,118.0
AEO,16.619999999999997,20.0,332.4,2023.0,21.21,20.0,424.2,92.0
META,336.25,3.0,1008.75,2023.0,355.1366666666667,3.0,1065.41,57.0
DNN,1.1096,100.0,110.96,2023.0,1.4304,100.0,143.04,33.0
UUUU,5.997333333333333,15.0,89.96,2023.0,7.59,15.0,113.85,24.0
UEC,3.43,28.0,96.04,2023.0,4.103571428571429,28.0,114.9,19.0
LI,23.44,5.0,117.2,2023.0,26.7,5.0,133.5,17.0
RIO,67.30621448818013,2.101589,141.45000000000002,2023.0,75.04797560322213,2.101589,157.72,17.0
NXE,4.569,20.0,91.38,2023.0,4.6405,20.0,92.81,2.0
